m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,thetadot_cmd,theta_dot_0,F_value,t0
0,0,0,0,0,0,0,0.63775,0,-0.537268,-3.024726,0.580581
0,0,0,0,0,0,0,0.632385,0,-0.534615,-2.993913,0.590591
0,0,0,0,0,0,0,0.627048,0,-0.531878,-2.963539,0.600601
0,0,0,0,0,0,0,0.621738,0,-0.529063,-2.933593,0.610611
0,0,0,0,0,0,0,0.616456,0,-0.526175,-2.904063,0.620621
0,0,0,0,0,0,0,0.611204,0,-0.52322,-2.87494,0.630631
0,0,0,0,0,0,0,0.605981,0,-0.520204,-2.846212,0.640641
0,0,0,0,0,0,0,0.600789,0,-0.51713,-2.817869,0.650651
0,0,0,0,0,0,0,0.595629,0,-0.514004,-2.789902,0.660661
0,0,0,0,0,0,0,0.590499,0,-0.510831,-2.762302,0.670671
0,0,0,0,0,0,0,0.585402,0,-0.507614,-2.735059,0.680681
0,0,0,0,0,0,0,0.580337,0,-0.504357,-2.708166,0.690691
0,0,0,0,0,0,0,0.575305,0,-0.501064,-2.681614,0.700701
0,0,0,0,0,0,0,0.570306,0,-0.497739,-2.655395,0.710711
0,0,0,0,0,0,0,0.56534,0,-0.494385,-2.629502,0.720721
0,0,0,0,0,0,0,0.560408,0,-0.491005,-2.603928,0.730731
0,0,0,0,0,0,0,0.55551,0,-0.487602,-2.578664,0.740741
0,0,0,0,0,0,0,0.550646,0,-0.484179,-2.553706,0.750751
0,0,0,0,0,0,0,0.545817,0,-0.480739,-2.529046,0.760761
0,0,0,0,0,0,0,0.541022,0,-0.477284,-2.504677,0.770771
0,0,0,0,0,0,0,0.536262,0,-0.473817,-2.480594,0.780781
0,0,0,0,0,0,0,0.531536,0,-0.47034,-2.456792,0.790791
0,0,0,0,0,0,0,0.526846,0,-0.466854,-2.433263,0.800801
0,0,0,0,0,0,0,0.52219,0,-0.463363,-2.410004,0.810811
0,0,0,0,0,0,0,0.517569,0,-0.459868,-2.387009,0.820821
